Price_€,Review_Score,Review_Score_,Number_Of_Reviews,App_area_sqm,Dist_center_km
890,10.0,5,6.0,47.0,0.25
495,9.6,5,25.0,40.0,0.8
912,9.6,5,67.0,50.0,0.6
1170,9.5,5,23.0,75.0,0.4
480,10.0,5,6.0,60.0,1.8
780,9.5,5,15.0,22.0,1.4
684,9.6,5,13.0,47.0,2.1
492,9.1,3,32.0,48.0,2.2
540,9.5,5,12.0,38.0,0.25
540,8.7,4,12.0,49.0,0.25
780,9.3,3,74.0,45.0,0.7
702,9.5,5,26.0,45.0,1.0
474,9.7,5,4.0,30.0,0.7
480,8.5,2,11.0,35.0,0.6
653,8.9,4,63.0,20.0,0.5
582,9.5,5,21.0,27.0,1.1
750,9.8,5,5.0,30.0,1.0
485,8.8,4,4.0,33.0,1.9
890,9.6,5,93.0,30.0,0.8
474,8.0,2,12.0,41.0,1.9
544,7.9,1,113.0,30.0,3.1
378,8.6,4,7.0,65.0,1.9
495,9.6,5,25.0,40.0,0.8
631,9.5,5,80.0,33.0,0.15
660,9.5,5,31.0,75.0,2.0
930,9.8,5,28.0,58.0,1.2
912,9.6,5,67.0,50.0,0.6
420,8.4,2,5.0,40.0,1.7
780,9.7,5,54.0,36.0,0.4
631,9.3,3,57.0,24.0,0.2
528,9.5,5,12.0,55.0,0.3
402,7.9,1,7.0,25.0,0.35
720,9.3,3,110.0,30.0,0.45
680,9.3,3,30.0,40.0,1.1
480,8.6,4,9.0,55.0,2.7
624,9.4,3,24.0,40.0,0.4
510,9.1,3,23.0,45.0,1.9
480,8.8,4,13.0,50.0,1.8
850,9.4,3,54.0,55.0,3.4
264,8.1,2,40.0,25.0,1.7
397,8.3,2,7.0,28.0,2.3
1074,9.8,5,119.0,52.0,0.45
810,9.3,3,29.0,65.0,2.2
510,9.3,3,53.0,38.0,2.4
800,9.0,3,54.0,35.0,3.5
480,9.6,5,18.0,50.0,1.2
1200,9.1,3,22.0,81.0,0.8
384,9.3,3,87.0,20.0,1.8
790,9.2,3,34.0,35.0,3.7
1170,9.5,5,23.0,75.0,0.4
324,8.6,4,44.0,30.0,2.2
643,9.4,3,20.0,45.0,0.1
475,8.0,2,112.0,26.0,0.7
969,10.0,5,4.0,40.0,0.1
420,9.4,3,18.0,55.0,2.6
762,9.9,5,39.0,32.0,0.45
610,8.6,4,53.0,35.0,0.2
1345,9.4,3,22.0,65.0,0.5
